destination,latitude,longitude,display_name,coordinate_source
Alentejo,38.5714,-7.9135,Alentejo,Curated reference centroid for prototype
Algarve,37.0194,-7.9304,Algarve,Curated reference centroid for prototype
Cabo Verde,16.7266,-22.9297,Cabo Verde,Curated reference centroid for prototype
Cancun,21.1619,-86.8515,Cancún,Curated reference centroid for prototype
Carmona,37.4713,-5.6461,Carmona,Curated reference centroid for prototype
Creta,35.3387,25.1442,Creta,Curated reference centroid for prototype
Dubrovnik,42.6507,18.0944,Dubrovnik,Curated reference centroid for prototype
Maldivas,4.1755,73.5093,Maldivas,Curated reference centroid for prototype
Mallorca,39.5696,2.6502,Mallorca,Curated reference centroid for prototype
Menorca,39.8885,4.2658,Menorca,Curated reference centroid for prototype
Naxos,37.1036,25.3764,Naxos,Curated reference centroid for prototype
Osuna,37.2376,-5.1031,Osuna,Curated reference centroid for prototype
Ronda,36.7462,-5.1612,Ronda,Curated reference centroid for prototype
Sevilla,37.3891,-5.9845,Sevilla,Curated reference centroid for prototype
Split,43.5081,16.4402,Split,Curated reference centroid for prototype
Zadar,44.1194,15.2314,Zadar,Curated reference centroid for prototype
