lugar,year_month,temp_media_aire_c,temp_media_agua_c,precipitacion_total_mm,dias_lluvia,horas_sol_totales,humedad_media_pct
Mallorca,2022-01,9.8,,16.8,,266.1,
Mallorca,2022-02,11.7,,6.7,,248.7,
Mallorca,2022-03,13.1,,69.8,,243.8,
Mallorca,2022-04,15.0,,60.7,,307.2,
Mallorca,2022-05,21.0,,43.5,,400.6,
Mallorca,2022-06,25.6,,14.9,,402.9,
Mallorca,2022-07,28.7,,3.8,,429.1,
Mallorca,2022-08,28.2,,23.5,,390.9,
Mallorca,2022-09,24.4,,77.2,,313.1,
Mallorca,2022-10,21.3,,21.3,,299.3,
Mallorca,2022-11,17.0,,76.9,,235.0,
Mallorca,2022-12,14.2,,50.8,,230.3,
Mallorca,2023-01,10.8,,22.6,,261.8,
Mallorca,2023-02,9.9,,122.1,,235.2,
Mallorca,2023-03,14.2,,11.0,,340.8,
Mallorca,2023-04,16.5,,23.2,,360.0,
Mallorca,2023-05,18.8,,95.7,,362.3,
Mallorca,2023-06,24.0,,50.7,,390.9,
Mallorca,2023-07,28.3,,6.4,,419.2,
Mallorca,2023-08,26.8,,59.4,,389.6,
Mallorca,2023-09,23.6,,62.9,,308.9,
Mallorca,2023-10,21.5,,27.9,,302.8,
Mallorca,2023-11,16.5,,13.7,,257.5,
Mallorca,2023-12,13.2,,10.0,,247.2,
Mallorca,2024-01,12.7,14.7,65.5,7,248.0,78.1
Mallorca,2024-02,13.2,15.0,34.6,5,249.7,74.5
Mallorca,2024-03,14.5,15.6,75.1,7,324.6,71.2
Mallorca,2024-04,16.0,16.9,74.4,11,321.0,65.4
Mallorca,2024-05,18.9,19.5,21.9,10,384.8,70.3
Mallorca,2024-06,22.7,23.0,59.2,6,391.4,67.3
Mallorca,2024-07,26.7,26.0,3.3,1,432.0,60.5
Mallorca,2024-08,27.2,28.5,29.5,4,388.7,67.9
Mallorca,2024-09,22.3,26.1,56.9,10,312.7,73.6
Mallorca,2024-10,20.6,22.9,55.9,7,310.5,76.9
Mallorca,2024-11,16.5,20.5,84.7,7,250.2,83.8
Mallorca,2024-12,11.7,17.3,24.2,7,265.8,80.9
Mallorca,2025-01,12.4,,17.2,,269.6,
Mallorca,2025-02,11.8,,48.4,,248.9,
Mallorca,2025-03,13.4,,143.1,,299.0,
Mallorca,2025-04,16.3,,29.6,,346.2,
Mallorca,2025-05,19.4,,40.9,,386.5,
Mallorca,2025-06,26.5,,0.3,,416.8,
Tenerife,2022-01,1.7,,114.8,,298.1,
Tenerife,2022-02,2.3,,217.6,,286.2,
Tenerife,2022-03,1.4,,78.4,,332.0,
Tenerife,2022-04,5.1,,36.8,,359.2,
Tenerife,2022-05,9.6,,26.9,,404.2,
Tenerife,2022-06,11.5,,4.1,,407.0,
Tenerife,2022-07,19.1,,20.5,,402.7,
Tenerife,2022-08,17.2,,229.9,,363.4,
Tenerife,2022-09,10.9,,405.1,,313.3,
Tenerife,2022-10,9.7,,86.1,,337.7,
Tenerife,2022-11,7.6,,11.8,,297.2,
Tenerife,2022-12,4.7,,70.6,,292.3,
Tenerife,2023-01,0.8,,64.3,,305.4,
Tenerife,2023-02,-0.6,,71.4,,298.3,
Tenerife,2023-03,9.4,,5.5,,355.0,
Tenerife,2023-04,8.0,,21.9,,358.4,
Tenerife,2023-05,7.0,,88.4,,398.8,
Tenerife,2023-06,11.2,,51.9,,387.9,
Tenerife,2023-07,15.8,,123.8,,399.9,
Tenerife,2023-08,17.6,,281.3,,370.6,
Tenerife,2023-09,9.6,,31.9,,339.4,
Tenerife,2023-10,11.9,,14.6,,335.3,
Tenerife,2023-11,8.0,,12.3,,293.2,
Tenerife,2023-12,4.9,,32.7,,300.4,
Tenerife,2024-01,6.1,,18.7,,303.6,
Tenerife,2024-02,7.0,,3.9,,309.3,
Tenerife,2024-03,4.0,,43.9,,350.2,
Tenerife,2024-04,8.8,,12.7,,360.9,
Tenerife,2024-05,8.4,,9.6,,390.2,
Tenerife,2024-06,10.2,,3.8,,402.9,
Tenerife,2024-07,18.8,,27.6,,398.5,
Tenerife,2024-08,18.0,,46.5,,370.7,
Tenerife,2024-09,10.4,,9.5,,342.3,
Tenerife,2024-10,10.0,,49.4,,329.5,
Tenerife,2024-11,7.6,,140.2,,281.4,
Tenerife,2024-12,3.8,,83.4,,287.1,
Tenerife,2025-01,3.4,,11.0,,316.5,
Tenerife,2025-02,3.3,,9.7,,300.2,
Tenerife,2025-03,1.6,,82.7,,337.7,
Tenerife,2025-04,4.0,,73.1,,353.8,
Tenerife,2025-05,6.7,,27.1,,403.1,
Tenerife,2025-06,12.5,,7.6,,404.7,
Ibiza,2022-01,11.9,,2.7,,279.6,
Ibiza,2022-02,13.2,,7.1,,247.2,
Ibiza,2022-03,13.9,,103.9,,231.7,
Ibiza,2022-04,14.9,,82.3,,300.0,
Ibiza,2022-05,19.9,,22.1,,395.6,
Ibiza,2022-06,24.8,,2.8,,410.4,
Ibiza,2022-07,27.6,,1.3,,426.8,
Ibiza,2022-08,28.4,,3.4,,395.6,
Ibiza,2022-09,25.6,,61.5,,321.2,
Ibiza,2022-10,22.1,,21.2,,298.2,
Ibiza,2022-11,18.7,,58.5,,249.6,
Ibiza,2022-12,15.6,,56.7,,228.1,
Ibiza,2023-01,12.5,,14.6,,281.0,
Ibiza,2023-02,11.5,,27.0,,246.8,
Ibiza,2023-03,15.0,,39.9,,342.6,
Ibiza,2023-04,17.2,,2.2,,358.2,
Ibiza,2023-05,19.3,,56.4,,371.8,
Ibiza,2023-06,23.9,,8.1,,384.7,
Ibiza,2023-07,28.0,,5.3,,421.3,
Ibiza,2023-08,27.1,,44.8,,393.5,
Ibiza,2023-09,24.4,,76.6,,319.3,
Ibiza,2023-10,22.5,,19.5,,304.9,
Ibiza,2023-11,17.7,,7.5,,267.5,
Ibiza,2023-12,14.5,,6.0,,257.8,
Ibiza,2024-01,14.1,16.0,25.0,4,252.0,72.4
Ibiza,2024-02,14.1,15.5,25.3,5,258.3,72.9
Ibiza,2024-03,15.1,15.4,37.7,7,321.4,71.3
Ibiza,2024-04,16.6,16.7,65.8,6,327.4,65.6
Ibiza,2024-05,19.4,19.4,17.6,8,396.5,72.8
Ibiza,2024-06,23.1,22.6,15.3,4,403.3,70.8
Ibiza,2024-07,26.2,25.6,6.2,1,432.7,71.3
Ibiza,2024-08,27.5,27.2,14.1,2,389.1,73.0
Ibiza,2024-09,24.0,25.6,18.1,10,330.4,69.2
Ibiza,2024-10,21.4,22.8,22.6,10,302.1,74.8
Ibiza,2024-11,18.0,20.6,60.1,7,252.3,80.8
Ibiza,2024-12,13.5,17.5,17.5,3,266.0,72.5
Ibiza,2025-01,13.9,,8.8,,270.1,
Ibiza,2025-02,13.0,,29.2,,262.8,
Ibiza,2025-03,14.4,,90.3,,304.8,
Ibiza,2025-04,16.8,,12.2,,344.4,
Ibiza,2025-05,19.4,,35.2,,394.4,
Ibiza,2025-06,25.1,,0.0,,412.7,
Costa del Sol,2022-01,13.0,,13.9,,274.8,
Costa del Sol,2022-02,14.5,,14.9,,245.9,
Costa del Sol,2022-03,14.2,,193.9,,248.9,
Costa del Sol,2022-04,16.0,,44.7,,316.3,
Costa del Sol,2022-05,21.6,,25.8,,389.9,
Costa del Sol,2022-06,26.0,,1.5,,403.2,
Costa del Sol,2022-07,27.2,,0.8,,400.8,
Costa del Sol,2022-08,27.6,,0.5,,392.1,
Costa del Sol,2022-09,25.4,,9.0,,329.1,
Costa del Sol,2022-10,22.1,,4.6,,282.3,
Costa del Sol,2022-11,18.4,,12.1,,268.1,
Costa del Sol,2022-12,15.0,,109.7,,229.6,
Costa del Sol,2023-01,12.6,,5.2,,271.6,
Costa del Sol,2023-02,13.0,,39.4,,262.3,
Costa del Sol,2023-03,17.2,,9.7,,323.3,
Costa del Sol,2023-04,20.0,,3.2,,365.0,
Costa del Sol,2023-05,20.3,,41.9,,353.6,
Costa del Sol,2023-06,24.5,,33.3,,378.2,
Costa del Sol,2023-07,28.3,,3.6,,401.9,
Costa del Sol,2023-08,27.9,,0.8,,396.8,
Costa del Sol,2023-09,23.1,,67.7,,337.3,
Costa del Sol,2023-10,20.7,,43.4,,281.3,
Costa del Sol,2023-11,17.0,,0.7,,284.9,
Costa del Sol,2023-12,13.4,,13.0,,247.3,
Costa del Sol,2024-01,13.8,,45.0,1,249.4,47.4
Costa del Sol,2024-02,14.7,,46.8,2,259.4,51.5
Costa del Sol,2024-03,15.5,,159.9,8,271.5,61.9
Costa del Sol,2024-04,17.4,,8.2,15,352.0,73.8
Costa del Sol,2024-05,20.5,,2.7,12,401.1,82.6
Costa del Sol,2024-06,23.7,,30.5,20,398.9,87.4
Costa del Sol,2024-07,26.9,,2.4,9,406.6,72.5
Costa del Sol,2024-08,27.7,,8.8,12,389.1,76.3
Costa del Sol,2024-09,24.1,,26.0,15,345.1,74.9
Costa del Sol,2024-10,20.4,,181.3,3,269.1,63.5
Costa del Sol,2024-11,17.0,,94.4,9,256.6,63.4
Costa del Sol,2024-12,13.5,,11.3,6,276.3,50.1
Costa del Sol,2025-01,13.1,,37.1,,259.7,
Costa del Sol,2025-02,13.6,,64.3,,266.6,
Costa del Sol,2025-03,14.3,,202.0,,278.5,
Costa del Sol,2025-04,17.6,,55.9,,337.4,
Costa del Sol,2025-05,21.3,,17.1,,400.9,
Costa del Sol,2025-06,26.6,,0.7,,407.9,
Barcelona,2022-01,7.6,,9.0,,266.7,
Barcelona,2022-02,10.3,,10.6,,245.8,
Barcelona,2022-03,11.9,,98.9,,217.0,
Barcelona,2022-04,13.5,,53.1,,317.6,
Barcelona,2022-05,19.1,,58.9,,388.8,
Barcelona,2022-06,23.9,,22.3,,404.9,
Barcelona,2022-07,26.0,,50.6,,418.9,
Barcelona,2022-08,26.5,,49.7,,386.8,
Barcelona,2022-09,22.2,,76.2,,304.1,
Barcelona,2022-10,19.8,,34.3,,292.5,
Barcelona,2022-11,14.8,,57.5,,235.2,
Barcelona,2022-12,11.2,,36.4,,233.3,
Barcelona,2023-01,8.4,,5.7,,250.7,
Barcelona,2023-02,8.8,,54.2,,233.6,
Barcelona,2023-03,13.2,,3.6,,332.2,
Barcelona,2023-04,15.2,,25.2,,356.0,
Barcelona,2023-05,17.5,,86.0,,374.9,
Barcelona,2023-06,23.1,,53.7,,369.4,
Barcelona,2023-07,25.7,,24.6,,418.2,
Barcelona,2023-08,25.8,,56.4,,376.9,
Barcelona,2023-09,22.7,,68.8,,319.6,
Barcelona,2023-10,20.2,,50.7,,286.0,
Barcelona,2023-11,14.4,,11.9,,234.9,
Barcelona,2023-12,10.1,,6.9,,233.9,
Barcelona,2024-01,9.8,13.8,39.9,5,226.6,76.5
Barcelona,2024-02,11.7,13.7,19.5,5,253.8,73.5
Barcelona,2024-03,12.8,14.5,73.5,8,297.8,76.0
Barcelona,2024-04,14.2,15.5,142.9,10,308.8,72.9
Barcelona,2024-05,17.0,18.2,39.4,10,399.9,77.4
Barcelona,2024-06,21.2,21.7,70.0,11,371.3,74.2
Barcelona,2024-07,25.0,25.0,29.8,4,410.7,70.4
Barcelona,2024-08,26.0,27.3,35.8,7,378.6,72.6
Barcelona,2024-09,20.6,25.2,89.4,14,291.3,74.2
Barcelona,2024-10,18.3,21.7,149.0,13,263.7,81.8
Barcelona,2024-11,14.4,19.3,88.3,10,217.8,82.5
Barcelona,2024-12,9.6,16.3,30.5,4,245.2,76.7
Barcelona,2025-01,10.1,,10.1,,254.5,
Barcelona,2025-02,10.3,,41.1,,211.0,
Barcelona,2025-03,11.6,,146.0,,251.8,
Barcelona,2025-04,14.7,,31.2,,343.1,
Barcelona,2025-05,17.9,,72.9,,400.8,
Barcelona,2025-06,25.4,,0.3,,405.8,
Madrid,2022-01,4.8,,13.2,,262.0,
Madrid,2022-02,9.0,,8.0,,249.3,
Madrid,2022-03,9.4,,146.9,,187.9,
Madrid,2022-04,11.7,,62.1,,318.0,
Madrid,2022-05,20.1,,12.3,,403.7,
Madrid,2022-06,24.7,,2.5,,405.9,
Madrid,2022-07,29.7,,6.0,,435.1,
Madrid,2022-08,27.6,,13.3,,386.7,
Madrid,2022-09,21.2,,63.4,,329.5,
Madrid,2022-10,17.8,,34.6,,266.6,
Madrid,2022-11,10.8,,40.6,,198.6,
Madrid,2022-12,8.6,,128.6,,126.6,
Madrid,2023-01,5.1,,21.5,,220.5,
Madrid,2023-02,6.1,,4.7,,264.6,
Madrid,2023-03,12.0,,10.2,,312.2,
Madrid,2023-04,17.2,,12.7,,364.9,
Madrid,2023-05,17.6,,54.0,,375.4,
Madrid,2023-06,22.7,,53.2,,372.5,
Madrid,2023-07,28.0,,1.1,,434.2,
Madrid,2023-08,28.0,,0.4,,399.4,
Madrid,2023-09,19.6,,162.9,,309.6,
Madrid,2023-10,16.9,,126.0,,253.3,
Madrid,2023-11,10.6,,33.1,,206.9,
Madrid,2023-12,5.9,,36.9,,201.3,
Madrid,2024-01,7.2,,80.7,10,189.5,84.0
Madrid,2024-02,8.7,,33.3,10,216.9,76.1
Madrid,2024-03,10.4,,110.8,14,254.0,72.3
Madrid,2024-04,14.0,,19.6,2,351.7,55.0
Madrid,2024-05,17.7,,17.0,5,405.7,46.9
Madrid,2024-06,22.0,,58.9,9,368.3,48.3
