grupo,termino_original,iata_destino,rutas_directas_ES,rutas_directas_UK,rutas_directas_DE,vuelos_semanales_estimados,asientos_semanales_ofertados,pasajeros_semanales_estimados,pasajeros_anuales_estimados
Ciudades Españolas,Alicante,ALC,3,14,4,197,35460,30141,1567332
Ciudades Españolas,Barcelona,BCN,9,14,11,302,54360,46206,2402712
Ciudades Españolas,Benalmádena,AGP,5,18,8,287,51660,43911,2283372
Ciudades Españolas,Benidorm,ALC,3,14,4,197,35460,30141,1567332
Ciudades Españolas,Bilbao,BIO,8,4,3,123,22140,18819,978588
Ciudades Españolas,Cartagena,ALC,3,14,4,197,35460,30141,1567332
Ciudades Españolas,Chiclana de la Frontera,XRY,4,1,6,92,16560,14076,731952
Ciudades Españolas,Coruña,LCG,5,2,0,55,9900,8415,437580
Ciudades Españolas,Cádiz,XRY,4,1,6,92,16560,14076,731952
Ciudades Españolas,Córdoba,SVQ,4,3,0,58,10440,8874,461448
Ciudades Españolas,San Sebastian,EAS,3,0,0,21,3780,3213,167076
Ciudades Españolas,Eivissa,IBZ,12,14,8,296,53280,45288,2354976
Ciudades Españolas,Elche,ALC,3,14,4,197,35460,30141,1567332
Ciudades Españolas,Fuengirola,AGP,5,18,8,287,51660,43911,2283372
Ciudades Españolas,Gijón,OVD,6,1,0,52,9360,7956,413712
Ciudades Españolas,Granada,GRX,3,0,0,21,3780,3213,167076
Ciudades Españolas,Jerez de la Frontera,XRY,4,1,6,92,16560,14076,731952
Ciudades Españolas,Madrid,MAD,6,7,17,265,47700,40545,2108340
Ciudades Españolas,Marbella,AGP,5,18,8,287,51660,43911,2283372
Ciudades Españolas,Murcia,RMU,0,0,0,0,0,0,0
Ciudades Españolas,Málaga,AGP,5,18,8,287,51660,43911,2283372
Ciudades Españolas,Oviedo,OVD,6,1,0,52,9360,7956,413712
Ciudades Españolas,Palma,PMI,18,23,13,473,85140,72369,3763188
Ciudades Españolas,Palmas de Gran Canaria,PMI,18,23,13,473,85140,72369,3763188
Ciudades Españolas,Pamplona,PNA,1,0,0,7,1260,1071,55692
Ciudades Españolas,Puerto de Santa María,XRY,4,1,6,92,16560,14076,731952
Ciudades Españolas,Puerto de la Cruz,TFS,6,22,9,343,61740,52479,2728908
Ciudades Españolas,Salamanca,SLM,1,0,0,7,1260,1071,55692
Ciudades Españolas,Santa Cruz de Tenerife,TFS,6,22,9,343,61740,52479,2728908
Ciudades Españolas,Santiago de Compostela,SCQ,9,2,0,83,14940,12699,660348
Ciudades Españolas,Sevilla,SVQ,4,3,0,58,10440,8874,461448
Ciudades Españolas,Toledo,MAD,6,7,17,265,47700,40545,2108340
Ciudades Españolas,Torremolinos,AGP,5,18,8,287,51660,43911,2283372
Ciudades Españolas,Torrevieja,ALC,3,14,4,197,35460,30141,1567332
Ciudades Españolas,Valladolid,VLL,3,0,0,21,3780,3213,167076
Ciudades Españolas,València,VLC,4,3,4,94,16920,14382,747864
Ciudades Españolas,Vigo,VGO,6,0,0,42,7560,6426,334152
Ciudades Españolas,Vitoria,VIT,0,0,0,0,0,0,0
Ciudades Españolas,Zaragoza,ZAZ,0,1,0,10,1800,1530,79560
Grupo 1,Georgia Batumi,BUS,0,0,0,0,0,0,0
Grupo 1,Eslovenia Portoroz,POW,0,0,0,0,0,0,0
Grupo 1,Croacia islas,Sin aeropuerto directo,0,0,0,0,0,0,0
Grupo 1,Grecia Lefkada,PVK,0,3,2,48,8640,7344,381888
Grupo 1,Grecia Thassos,KVA,0,0,2,18,3240,2754,143208
Grupo 1,Italia Tropea,SUF,0,1,2,28,5040,4284,222768
Grupo 2,Tailandia Phuket,HKT,0,0,0,0,0,0,0
Grupo 2,Tailandia Koh Samui,USM,0,0,0,0,0,0,0
Grupo 2,Bali,DPS,0,0,0,0,0,0,0
Grupo 2,Vietnam Da Nang,DAD,0,0,0,0,0,0,0
Grupo 2,Sri Lanka,CMB,0,1,1,19,5700,4845,251940
Grupo 2,Maldivas,MLE,0,1,1,19,5700,4845,251940
Grupo 3,Mauricio,MRU,0,4,1,49,14700,12495,649740
Grupo 3,Seychelles,SEZ,0,0,1,9,2700,2295,119340
Grupo 3,Reunión,RUN,0,0,0,0,0,0,0
Grupo 3,Zanzíbar,ZNZ,0,0,0,0,0,0,0
Grupo 3,Maldivas atolón,MLE,0,1,1,19,5700,4845,251940
Grupo 4,Antigua,ANU,0,3,0,30,9000,7650,397800
Grupo 4,Santa Lucía,UVF,0,4,0,40,12000,10200,530400
Grupo 4,Granada Caribe,GRX,3,0,0,21,3780,3213,167076
Grupo 4,Dominica,DOM,0,0,0,0,0,0,0
Grupo 4,Bonaire,BON,0,0,0,0,0,0,0
Grupo 4,Turks and Caicos,PLS,0,0,0,0,0,0,0
Grupo 5,Islandia,KEF,2,7,2,102,18360,15606,811512
Grupo 5,Noruega fiordos,OSL,8,7,8,198,35640,30294,1575288
Grupo 5,Azores senderismo,PDL,0,1,2,28,5040,4284,222768
Grupo 5,Madeira trekking,FNC,0,6,6,114,20520,17442,906984
Grupo 5,Canarias volcanes,TFS,6,22,9,343,61740,52479,2728908
Grupo 5,Escocia Highlands,EDI,9,10,2,181,32580,27693,1440036
Grupo 6,Dubái,DXB,2,10,8,186,55800,47430,2466360
Grupo 6,Abu Dhabi,AUH,0,5,11,149,44700,37995,1975740
Grupo 6,Omán Muscat,MCT,0,1,2,28,8400,7140,371280
Grupo 6,Omán Salalah,SLL,0,0,0,0,0,0,0
Grupo 6,Jordania Mar Muerto,AMM,4,2,5,93,16740,14229,739908
Grupo 6,Jordania Aqaba,AMM,4,2,5,93,16740,14229,739908
Grupo 7,Playa del Carmen,CUN,4,9,2,136,40800,34680,1803360
Grupo 7,Tulum,TQO,0,0,0,0,0,0,0
Grupo 7,Los Cabos,SJD,0,0,0,0,0,0,0
Grupo 7,Puerto Vallarta,PVR,0,0,0,0,0,0,0
Grupo 7,Costa Rica,SJO,1,0,0,7,2100,1785,92820
Grupo 7,Panamá,PTY,1,0,0,7,2100,1785,92820
Grupo 8,Cabo Verde Sal,SID,0,4,0,40,7200,6120,318240
Grupo 8,Cabo Verde Boa Vista,BVC,0,3,2,48,8640,7344,381888
Grupo 8,Cabo Verde Santiago,RAI,0,0,0,0,0,0,0
Grupo 8,Cabo Verde Santo Antão,VXE,0,0,0,0,0,0,0
Grupo 9,Marrakech,RAK,5,11,1,154,27720,23562,1225224
Grupo 9,Agadir,AGA,0,6,3,87,15660,13311,692172
Grupo 9,Essaouira,ESU,0,0,0,0,0,0,0
Grupo 9,Fez,FEZ,3,1,0,31,5580,4743,246636
Grupo 9,Tánger,TNG,7,2,0,69,12420,10557,548964
Grupo 10,Sicilia,CTA,3,9,13,228,41040,34884,1813968
Grupo 10,Cerdeña,CAG,1,1,6,71,12780,10863,564876
Grupo 10,Calabria,SUF,0,1,2,28,5040,4284,222768
Grupo 10,Puglia,BRI,2,3,3,71,12780,10863,564876
Grupo 10,Costa Amalfitana,NAP,2,9,8,176,31680,26928,1400256
Grupo 10,Toscana,FLR,4,2,6,102,18360,15606,811512
Grupo 10,Cinque Terre,Sin aeropuerto directo,0,0,0,0,0,0,0
Grupo 10,Lago de Garda,Sin aeropuerto directo,0,0,0,0,0,0,0
Grupo 11,Dubrovnik,DBV,2,9,8,176,31680,26928,1400256
Grupo 11,Split,SPU,0,5,8,122,21960,18666,970632
Grupo 11,Istria,PUY,0,3,2,48,8640,7344,381888
Grupo 11,Hvar,SPU,0,5,8,122,21960,18666,970632
Grupo 11,Montenegro Budva,TIV,0,1,0,10,1800,1530,79560
Grupo 11,Albania Saranda,TIA,0,1,2,28,5040,4284,222768
Grupo 11,Albania Ksamil,CFU,0,7,9,151,27180,23103,1201356
Grupo 12,Antalya,AYT,0,11,13,227,40860,34731,1806012
Grupo 12,Bodrum,BJV,0,9,0,90,16200,13770,716040
Grupo 12,Dalaman,DLM,0,15,6,204,36720,31212,1623024
Grupo 12,Fethiye,DLM,0,15,6,204,36720,31212,1623024
Grupo 12,Cesme,ADB,0,4,5,85,15300,13005,676260
Grupo 12,Kusadasi,ADB,0,4,5,85,15300,13005,676260
Grupo 12,Marmaris,DLM,0,15,6,204,36720,31212,1623024
Grupo 12,Alanya,GZP,0,0,0,0,0,0,0
Grupo 13,Hurghada,HRG,0,9,6,144,25920,22032,1145664
Grupo 13,Sharm el Sheikh,SSH,0,15,0,150,27000,22950,1193400
Grupo 13,Marsa Alam,RMF,0,0,1,9,1620,1377,71604
Grupo 13,El Gouna,HRG,0,9,6,144,25920,22032,1145664
Grupo 13,Luxor,LXR,0,1,0,10,1800,1530,79560
Grupo 14,Atenas,ATH,6,10,8,214,38520,32742,1702584
Grupo 14,Salónica,SID,0,4,0,40,7200,6120,318240
Grupo 14,Pelión,Sin aeropuerto directo,0,0,0,0,0,0,0
Grupo 14,Halkidiki,Sin aeropuerto directo,0,0,0,0,0,0,0
