iso,pais,camas_hospital_1000hab,tasa_homicidios_100mil
GRC,Grecia,4.27,0.839605274224601
EGY,Egipto,1.06,1.31152527182627
DOM,República Dominicana,0.75,10.9166976980638
MEX,México,1.01,24.8589948436701
MDV,Maldivas,4.56,0.615093155858455
IDN,Indonesia,1.37,0.303768746039586
MAR,Marruecos,0.73,1.70500474577332
CPV,Cabo Verde,2.21,6.99464423976475
HRV,Croacia,5.6,0.667347104040825
ITA,Italia,3.06,0.568072449338316
ESP,España,2.97,0.63
TUR,Turquía,3.04,2.61
ARE,Emiratos Árabes,1.36,0.49
THA,Tailandia,2.1,2.9
PRT,Portugal,3.5,0.78
TUN,Túnez,2.3,3.0
