destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
Madrid,1078,0.4532,0.4262,171,480,427,39.61,cardiffnlp/twitter-xlm-roberta-base-sentiment
Riviera Maya,606,0.545,0.6837,189,274,143,23.6,cardiffnlp/twitter-xlm-roberta-base-sentiment
Marrakech,379,0.5473,0.6792,128,150,101,26.65,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancún,373,0.5167,0.6417,97,174,102,27.35,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bali,336,0.5422,0.6595,115,128,93,27.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dubái,319,0.556,0.7024,102,154,63,19.75,cardiffnlp/twitter-xlm-roberta-base-sentiment
Punta Cana,301,0.5718,0.7084,102,146,53,17.61,cardiffnlp/twitter-xlm-roberta-base-sentiment
Antalya,293,0.5709,0.67,94,145,54,18.43,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cerdeña,259,0.5645,0.6645,85,126,48,18.53,cardiffnlp/twitter-xlm-roberta-base-sentiment
Jamaica,254,0.5158,0.6694,61,137,56,22.05,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tenerife,242,0.5698,0.6721,95,91,56,23.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Santorini,240,0.5246,0.6496,74,100,66,27.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa Rica,240,0.5277,0.6341,70,110,60,25.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca,239,0.5168,0.6609,65,112,62,25.94,cardiffnlp/twitter-xlm-roberta-base-sentiment
Algarve,239,0.6137,0.6536,96,111,32,13.39,cardiffnlp/twitter-xlm-roberta-base-sentiment
Vietnam Da Nang,237,0.615,0.6295,95,113,29,12.24,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ibiza,237,0.5302,0.6691,73,107,57,24.05,cardiffnlp/twitter-xlm-roberta-base-sentiment
Antigua,236,0.6067,0.6749,87,117,32,13.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Split,230,0.5351,0.6239,70,95,65,28.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Puerto Vallarta,227,0.5396,0.653,66,110,51,22.47,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cuba,226,0.4442,0.6646,32,116,78,34.51,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sri Lanka,213,0.567,0.6622,75,94,44,20.66,cardiffnlp/twitter-xlm-roberta-base-sentiment
Hurghada,209,0.5243,0.67,55,106,48,22.97,cardiffnlp/twitter-xlm-roberta-base-sentiment
Porto,207,0.5513,0.6645,76,67,64,30.92,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cinque Terre,204,0.6188,0.6266,87,83,34,16.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
Fuerteventura,196,0.6057,0.7337,72,95,29,14.8,cardiffnlp/twitter-xlm-roberta-base-sentiment
Corfu,194,0.582,0.6639,76,68,50,25.77,cardiffnlp/twitter-xlm-roberta-base-sentiment
Madeira,191,0.5362,0.6656,58,84,49,25.65,cardiffnlp/twitter-xlm-roberta-base-sentiment
Seychelles,188,0.5732,0.6558,63,91,34,18.09,cardiffnlp/twitter-xlm-roberta-base-sentiment
Malta,188,0.5511,0.7009,63,81,44,23.4,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lanzarote,188,0.604,0.7208,73,82,33,17.55,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa del Sol,188,0.5786,0.7103,57,108,23,12.23,cardiffnlp/twitter-xlm-roberta-base-sentiment
Gran Canaria,183,0.566,0.6714,63,85,35,19.13,cardiffnlp/twitter-xlm-roberta-base-sentiment
Turks and Caicos,182,0.5586,0.6834,56,88,38,20.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
Luxor,182,0.5236,0.6455,43,96,43,23.63,cardiffnlp/twitter-xlm-roberta-base-sentiment
Las Vegas,182,0.5265,0.6786,43,99,40,21.98,cardiffnlp/twitter-xlm-roberta-base-sentiment
Los Cabos,180,0.5465,0.6834,47,107,26,14.44,cardiffnlp/twitter-xlm-roberta-base-sentiment
Aruba,180,0.5661,0.6772,59,79,42,23.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Georgia Batumi,178,0.5241,0.6668,43,94,41,23.03,cardiffnlp/twitter-xlm-roberta-base-sentiment
Essaouira,174,0.6102,0.641,76,57,41,23.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Azores,173,0.541,0.6366,46,92,35,20.23,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mykonos,168,0.601,0.658,67,75,26,15.48,cardiffnlp/twitter-xlm-roberta-base-sentiment
