iso,pais,camas_hospital_1000hab,tasa_homicidios_100mil
AFE,Africa Eastern and Southern,,12.4
AFG,Afghanistan,0.35,4.0324584656778
AFW,Africa Western and Central,,11.9
AGO,Angola,0.75,4.09826656345614
ALB,Albania,2.9,1.38708340817063
AND,Andorra,,2.58464719565779
ARB,Arab World,1.21410737535298,3.8
ARG,Argentina,3.36,4.49291137824536
ARM,Armenia,4.24,2.20833575400906
ASM,American Samoa,,25.5360106858383
ATG,Antigua and Barbuda,3.42,10.7163332993983
AUS,Australia,3.82,0.854406035826682
AUT,Austria,6.7,0.876191031111463
AZE,Azerbaijan,3.68,2.16122820563689
BDI,Burundi,,5.64974214487878
BEL,Belgium,5.42,1.08030153549307
BEN,Benin,0.43,1.1274974068
BFA,Burkina Faso,0.2,1.25044051977478
BGD,Bangladesh,0.92,2.34217668208578
BGR,Bulgaria,8.2,1.08890737415431
BHR,Bahrain,1.84,0.195636140255462
BHS,"Bahamas, The",2.17,32.1981392997156
BIH,Bosnia and Herzegovina,2.35,1.22446173133237
BLR,Belarus,9.77,2.38463165310244
BLZ,Belize,1.0,28.0582917218107
BMU,Bermuda,,6.18257133141674
BOL,Bolivia,1.49,4.41843313132273
BRA,Brazil,2.52,19.2752957673079
BRB,Barbados,6.4,7.43794627677661
BRN,Brunei Darussalam,3.58,
BTN,Bhutan,2.16,2.46751324015657
BWA,Botswana,2.36,11.3681767255945
CAF,Central African Republic,,20.120400654
CAN,Canada,2.54,1.97968887560784
CEB,Central Europe and the Baltics,6.37761711280486,1.3
CHL,Chile,1.94,6.34829073035101
CHN,China,5.63,0.5018560705357
CMR,Cameroon,2.65,6.76008919336955
COL,Colombia,1.7,24.9134420347488
CPV,Cabo Verde,2.21,6.99464423976475
CRI,Costa Rica,1.14,17.7454798727379
CSS,Caribbean small states,2.80436839306339,31.5
CUB,Cuba,4.33,4.46315139638841
CYM,Cayman Islands,,4.3677976836113
CYP,Cyprus,2.15,0.81785876397005
CZE,Czechia,6.54,0.767827757917044
DEU,Germany,7.55,0.910722780231795
DJI,Djibouti,1.4,
DMA,Dominica,3.97,27.063396005142
DNK,Denmark,2.43,0.840599404536194
DOM,Dominican Republic,0.75,10.9166976980638
DZA,Algeria,1.61,1.16107238811947
EAP,East Asia & Pacific (excluding high income),4.73070700615744,1.5
EAR,Early-demographic dividend,1.55814766055539,6.0
EAS,East Asia & Pacific,4.71791978451013,0.8
ECA,Europe & Central Asia (excluding high income),4.02111025360529,6.4
ECS,Europe & Central Asia,5.03585610927478,2.1
ECU,Ecuador,1.32,45.7228145164847
EGY,"Egypt, Arab Rep.",1.06,1.31152527182627
EMU,Euro area,4.99611152966589,1.0
ERI,Eritrea,1.02,
EST,Estonia,4.13,1.53599045052794
ETH,Ethiopia,0.33,
EUU,European Union,5.14333478552798,1.0
FIN,Finland,2.61,0.98193498501344
FJI,Fiji,1.89,2.0559533103824
FRA,France,5.65,1.33506280409367
FSM,"Micronesia, Fed. Sts.",,0.906766290056401
GEO,Georgia,4.04,2.02806499553233
GHA,Ghana,0.69,1.83111773115644
GMB,"Gambia, The",1.11,
GNB,Guinea-Bissau,,1.11876398954435
GRC,Greece,4.27,0.839605274224601
GRD,Grenada,3.01,13.6657527694502
GRL,Greenland,,5.35131374752502
GTM,Guatemala,0.45,23.3657267272051
GUM,Guam,,4.32611490161179
GUY,Guyana,3.24,19.1201580922439
HKG,"Hong Kong SAR, China",,0.376205815214825
HND,Honduras,0.53,31.4424316507577
HPC,Heavily indebted poor countries (HIPC),,8.1
HRV,Croatia,5.6,0.667347104040825
HTI,Haiti,4.9,41.1518089717388
HUN,Hungary,6.63,0.722657964901225
IBD,IBRD only,3.12126945718317,4.7
IBT,IDA & IBRD total,2.90261417823278,5.9
IDA,IDA total,,8.3
IDB,IDA blend,,7.7
IDN,Indonesia,1.37,0.303768746039586
IDX,IDA only,,7.7
IMN,Isle of Man,,1.19627241515438
IND,India,1.59,2.81530423021647
IRL,Ireland,2.96,0.654270171245596
IRN,"Iran, Islamic Rep.",1.85,
IRQ,Iraq,1.06,
ISL,Iceland,2.83,1.29013114183057
ISR,Israel,3.14,1.62581066709758
ITA,Italy,3.06,0.568072449338316
JAM,Jamaica,1.65,49.4403451527686
JOR,Jordan,1.41,0.987830151085125
JPN,Japan,12.59,0.229153196964695
KAZ,Kazakhstan,6.54,2.55058633787163
KEN,Kenya,1.33,4.87166844718499
KGZ,Kyrgyz Republic,3.73,1.74734308054439
KHM,Cambodia,0.73,
KIR,Kiribati,1.86,
KOR,"Korea, Rep.",12.81,0.477306316584835
KWT,Kuwait,2.33,0.249991818449578
LAC,Latin America & Caribbean (excluding high income),2.00599772640482,21.2
LAO,Lao PDR,1.71,
LBN,Lebanon,2.73,2.24466989542556
LBR,Liberia,1.59,
LBY,Libya,3.5,
LCN,Latin America & Caribbean,2.00523004057749,19.7
LDC,Least developed countries: UN classification,,7.8
LIE,Liechtenstein,,5.12242598094458
LMY,Low & middle income,2.73581466124029,5.7
LTE,Late-demographic dividend,5.2764368072695,4.8
LTU,Lithuania,5.71,2.62779952622526
LUX,Luxembourg,3.95,1.5306610542428
LVA,Latvia,4.95,2.49681788529087
MAC,"Macao SAR, China",,0.560293537784445
MAR,Morocco,0.73,1.70500474577332
MDA,Moldova,5.54,2.54314378217647
MDV,Maldives,4.56,0.615093155858455
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1.05775504465904,3.9
MEX,Mexico,1.01,24.8589948436701
MIC,Middle income,2.82628954552201,5.5
MKD,North Macedonia,4.74,1.52854990019388
MLI,Mali,0.25,
MLT,Malta,4.09,0.562898250512237
MMR,Myanmar,1.07,2.57510107248619
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",0.88666013519786,3.7
MNE,Montenegro,3.82,0.789201202111271
